M,aveRuntime
1,26.4
2,20
3,19
4,18
5,17
6,19.7
7,19.1
8,17
9,17
10,17
11,17
12,17.4
13,19.3
14,17.9
15,17
16,18
17,17.7
18,17.8
19,19.1
20,19
21,18
22,18
23,18.9
24,19
25,22
26,20
27,20
28,20.2
29,20
30,24
31,22
32,21
33,20.8
34,21
35,23
36,20.8
37,21.1
38,19.8
39,21
40,23
41,21
42,21.5
43,20.2
44,21
45,23
46,23
47,22.6
48,23
49,25
50,28.7
51,27.2
52,26.7
53,28
54,30
55,28.6
56,28
57,30.6
58,28.7
59,28
60,28
61,31
62,27.9
63,28.3
64,28.9
65,31.7
66,29
67,30.8
68,35.2
69,30
70,30.1
71,29
72,31.6
73,29
74,29.4
75,38.2
76,32
77,29.4
78,30.9
79,32
80,30.7
81,30.5
82,43.6
83,32.9
84,30
85,30
86,32.5
87,28.7
88,36
89,36.9
90,29.9
91,48.5
92,39.3
93,29
94,31.6
95,34.5
96,31.5
97,35
98,40.1
99,41
100,43
